"ITTER107","Territorio","TIPO_DATO15","Tipo dato","SEXISTAT1","Sesso","CAUSEMORTE_SL","Causa iniziale di morte - European Short List","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_7","di cui tumori maligni della laringe","2018","2018",8,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_7","di cui tumori maligni della laringe","2019","2019",6,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_7","di cui tumori maligni della laringe","2020","2020",9,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","2_1_7","di cui tumori maligni della laringe","2021","2021",5,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_4","altre malattie del sistema respiratorio","2010","2010",52,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_4","altre malattie del sistema respiratorio","2011","2011",31,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_4","altre malattie del sistema respiratorio","2012","2012",52,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_4","altre malattie del sistema respiratorio","2013","2013",63,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_4","altre malattie del sistema respiratorio","2014","2014",67,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_4","altre malattie del sistema respiratorio","2015","2015",64,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_4","altre malattie del sistema respiratorio","2016","2016",58,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_4","altre malattie del sistema respiratorio","2017","2017",69,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_4","altre malattie del sistema respiratorio","2018","2018",72,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_4","altre malattie del sistema respiratorio","2019","2019",68,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_4","altre malattie del sistema respiratorio","2020","2020",80,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_4","altre malattie del sistema respiratorio","2021","2021",61,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8","malattie del sistema respiratorio","2010","2010",208,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8","malattie del sistema respiratorio","2011","2011",239,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8","malattie del sistema respiratorio","2012","2012",233,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8","malattie del sistema respiratorio","2013","2013",232,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8","malattie del sistema respiratorio","2014","2014",237,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8","malattie del sistema respiratorio","2015","2015",269,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8","malattie del sistema respiratorio","2016","2016",252,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8","malattie del sistema respiratorio","2017","2017",307,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8","malattie del sistema respiratorio","2018","2018",282,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8","malattie del sistema respiratorio","2019","2019",285,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8","malattie del sistema respiratorio","2020","2020",291,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8","malattie del sistema respiratorio","2021","2021",237,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_3","malattie croniche delle basse vie respiratorie","2010","2010",135,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_3","malattie croniche delle basse vie respiratorie","2011","2011",162,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_3","malattie croniche delle basse vie respiratorie","2012","2012",139,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_3","malattie croniche delle basse vie respiratorie","2013","2013",131,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_3","malattie croniche delle basse vie respiratorie","2014","2014",125,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_3","malattie croniche delle basse vie respiratorie","2015","2015",146,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_3","malattie croniche delle basse vie respiratorie","2016","2016",145,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_3","malattie croniche delle basse vie respiratorie","2017","2017",170,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_3","malattie croniche delle basse vie respiratorie","2018","2018",153,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_3","malattie croniche delle basse vie respiratorie","2019","2019",168,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_3","malattie croniche delle basse vie respiratorie","2020","2020",156,,
"IT110","Barletta-Andria-Trani","DEATH","morti","9","totale","8_3","malattie croniche delle basse vie respiratorie","2021","2021",134,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2010","2010",10,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2011","2011",5,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2012","2012",10,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2013","2013",10,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2014","2014",8,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2015","2015",6,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2016","2016",3,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2017","2017",7,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2018","2018",13,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2019","2019",12,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2020","2020",7,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_1","di cui tumori maligni delle labbra, cavità orale e faringe","2021","2021",11,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_7","di cui tumori maligni della laringe","2010","2010",8,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_7","di cui tumori maligni della laringe","2011","2011",4,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_7","di cui tumori maligni della laringe","2012","2012",6,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_7","di cui tumori maligni della laringe","2013","2013",7,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_7","di cui tumori maligni della laringe","2014","2014",11,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_7","di cui tumori maligni della laringe","2015","2015",6,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_7","di cui tumori maligni della laringe","2016","2016",6,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_7","di cui tumori maligni della laringe","2017","2017",6,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_7","di cui tumori maligni della laringe","2018","2018",8,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_7","di cui tumori maligni della laringe","2019","2019",6,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_7","di cui tumori maligni della laringe","2020","2020",9,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_7","di cui tumori maligni della laringe","2021","2021",5,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2010","2010",106,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2011","2011",101,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2012","2012",129,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2013","2013",100,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2014","2014",109,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2015","2015",106,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2016","2016",103,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2017","2017",107,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2018","2018",107,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2019","2019",118,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2020","2020",112,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2021","2021",121,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2010","2010",80,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2011","2011",108,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2012","2012",98,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2013","2013",82,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2014","2014",77,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2015","2015",91,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2016","2016",79,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2017","2017",108,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2018","2018",92,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2019","2019",105,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2020","2020",108,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_3_2","di cui altre malattie croniche delle basse vie respiratorie","2021","2021",85,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8","malattie del sistema respiratorio","2010","2010",118,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8","malattie del sistema respiratorio","2011","2011",142,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8","malattie del sistema respiratorio","2012","2012",135,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8","malattie del sistema respiratorio","2013","2013",140,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8","malattie del sistema respiratorio","2014","2014",126,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8","malattie del sistema respiratorio","2015","2015",144,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8","malattie del sistema respiratorio","2016","2016",129,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8","malattie del sistema respiratorio","2017","2017",186,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8","malattie del sistema respiratorio","2018","2018",155,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8","malattie del sistema respiratorio","2019","2019",157,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8","malattie del sistema respiratorio","2020","2020",174,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8","malattie del sistema respiratorio","2021","2021",135,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_3","malattie croniche delle basse vie respiratorie","2010","2010",84,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_3","malattie croniche delle basse vie respiratorie","2011","2011",109,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_3","malattie croniche delle basse vie respiratorie","2012","2012",98,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_3","malattie croniche delle basse vie respiratorie","2013","2013",82,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_3","malattie croniche delle basse vie respiratorie","2014","2014",79,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_3","malattie croniche delle basse vie respiratorie","2015","2015",91,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_3","malattie croniche delle basse vie respiratorie","2016","2016",80,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_3","malattie croniche delle basse vie respiratorie","2017","2017",108,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_3","malattie croniche delle basse vie respiratorie","2018","2018",92,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_3","malattie croniche delle basse vie respiratorie","2019","2019",106,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_3","malattie croniche delle basse vie respiratorie","2020","2020",109,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_3","malattie croniche delle basse vie respiratorie","2021","2021",88,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_4","altre malattie del sistema respiratorio","2010","2010",22,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_4","altre malattie del sistema respiratorio","2011","2011",14,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_4","altre malattie del sistema respiratorio","2012","2012",20,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_4","altre malattie del sistema respiratorio","2013","2013",31,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_4","altre malattie del sistema respiratorio","2014","2014",28,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_4","altre malattie del sistema respiratorio","2015","2015",28,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_4","altre malattie del sistema respiratorio","2016","2016",28,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_4","altre malattie del sistema respiratorio","2017","2017",38,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_4","altre malattie del sistema respiratorio","2018","2018",37,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_4","altre malattie del sistema respiratorio","2019","2019",28,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_4","altre malattie del sistema respiratorio","2020","2020",44,,
"IT110","Barletta-Andria-Trani","DEATH","morti","1","maschi","8_4","altre malattie del sistema respiratorio","2021","2021",28,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2010","2010",18,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2011","2011",14,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2012","2012",15,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2013","2013",18,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2014","2014",22,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2015","2015",26,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2016","2016",27,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2017","2017",22,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2018","2018",32,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2019","2019",29,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2020","2020",30,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","2_1_8","di cui tumori maligni della trachea, dei bronchi e dei polmoni","2021","2021",24,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8","malattie del sistema respiratorio","2010","2010",90,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8","malattie del sistema respiratorio","2011","2011",97,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8","malattie del sistema respiratorio","2012","2012",98,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8","malattie del sistema respiratorio","2013","2013",92,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8","malattie del sistema respiratorio","2014","2014",111,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8","malattie del sistema respiratorio","2015","2015",125,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8","malattie del sistema respiratorio","2016","2016",123,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8","malattie del sistema respiratorio","2017","2017",121,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8","malattie del sistema respiratorio","2018","2018",127,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8","malattie del sistema respiratorio","2019","2019",128,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8","malattie del sistema respiratorio","2020","2020",117,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8","malattie del sistema respiratorio","2021","2021",102,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8_3","malattie croniche delle basse vie respiratorie","2010","2010",51,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8_3","malattie croniche delle basse vie respiratorie","2011","2011",53,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8_3","malattie croniche delle basse vie respiratorie","2012","2012",41,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8_3","malattie croniche delle basse vie respiratorie","2013","2013",49,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8_3","malattie croniche delle basse vie respiratorie","2014","2014",46,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8_3","malattie croniche delle basse vie respiratorie","2015","2015",55,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8_3","malattie croniche delle basse vie respiratorie","2016","2016",65,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8_3","malattie croniche delle basse vie respiratorie","2017","2017",62,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8_3","malattie croniche delle basse vie respiratorie","2018","2018",61,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8_3","malattie croniche delle basse vie respiratorie","2019","2019",62,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8_3","malattie croniche delle basse vie respiratorie","2020","2020",47,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8_3","malattie croniche delle basse vie respiratorie","2021","2021",46,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8_4","altre malattie del sistema respiratorio","2010","2010",30,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8_4","altre malattie del sistema respiratorio","2011","2011",17,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8_4","altre malattie del sistema respiratorio","2012","2012",32,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8_4","altre malattie del sistema respiratorio","2013","2013",32,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8_4","altre malattie del sistema respiratorio","2014","2014",39,,
"IT110","Barletta-Andria-Trani","DEATH","morti","2","femmine","8_4","altre malattie del sistema respiratorio","2015","2015",36,,
